mortgage;life_ins;cre_card;deb_card;mob_bank;curr_acc;internet;perloan;savings;atm_user;markpl;age;cus_leng
0;1;1;1;0;1;0;0;0;0;1;21;2
0;1;0;1;0;1;0;0;1;1;1;21;1
1;1;1;0;0;0;1;0;1;0;1;21;2
0;1;1;1;0;0;1;0;0;1;1;21;1
1;1;0;1;0;0;0;0;0;0;0;21;2
1;1;0;0;0;0;0;0;0;0;1;21;2
1;1;1;0;0;0;0;0;0;0;0;21;1
1;1;1;0;0;1;0;0;0;1;1;21;2
1;1;0;1;0;0;0;0;1;0;0;21;1
1;1;1;0;0;1;0;0;0;1;1;21;2
1;1;0;1;0;0;0;0;0;1;0;21;1
1;1;1;1;0;0;0;1;0;0;1;21;1
1;1;1;1;0;1;0;0;0;1;1;21;2
1;1;0;1;0;0;0;0;0;1;1;21;1
1;1;1;1;1;0;0;0;0;0;1;21;2
1;1;1;0;1;1;1;0;0;1;0;21;1
0;0;0;1;0;1;0;0;0;0;0;21;1
1;1;1;1;0;0;0;0;0;1;1;21;3
1;1;1;1;0;1;1;0;0;1;1;21;3
0;0;1;1;0;1;0;0;0;1;1;21;2
1;1;1;1;0;1;0;0;0;0;1;21;2
1;1;1;0;0;1;1;0;1;1;1;21;1
1;1;0;0;0;0;0;0;0;0;1;21;2
1;1;1;0;0;0;0;0;0;1;1;21;3
1;1;1;0;0;1;0;0;0;1;1;21;3
0;0;0;1;1;1;0;0;0;0;0;21;1
1;1;1;1;1;0;0;0;0;1;1;21;3
1;1;1;1;0;0;0;0;0;1;1;21;2
1;1;1;0;0;0;0;0;0;0;0;21;2
0;0;1;1;0;1;0;0;1;0;0;21;2
0;1;1;0;0;0;0;0;0;0;0;21;1
1;1;0;1;0;0;0;1;0;1;0;21;2
0;1;0;1;0;0;0;0;0;0;0;21;2
1;1;1;1;0;1;0;1;1;1;1;21;2
1;1;0;1;0;1;0;0;1;1;1;21;2
1;1;0;0;0;0;0;0;1;0;1;21;1
0;0;0;0;0;1;0;0;0;0;0;21;1
1;1;1;1;0;1;0;0;1;1;0;21;3
1;1;0;1;0;1;0;1;1;0;0;21;1
1;1;1;1;0;1;0;1;0;1;1;21;2
1;1;1;1;0;1;0;0;0;1;1;21;2
1;1;1;1;0;1;0;0;0;0;1;21;2
0;1;1;1;0;1;0;0;1;1;1;21;2
1;1;0;0;0;1;0;0;0;1;1;21;2
1;1;0;1;0;0;0;0;1;1;0;21;1
1;1;1;1;0;0;1;0;1;1;1;21;2
1;1;1;0;0;1;0;0;0;1;1;21;3
1;1;0;1;0;0;0;0;0;0;0;21;1
1;1;1;1;1;0;0;0;0;1;0;21;1
1;1;1;1;0;0;0;0;0;0;1;21;2
1;1;1;1;0;0;0;0;0;0;1;21;2
0;1;1;0;0;1;0;0;1;1;1;21;2
1;1;0;0;1;0;0;0;0;1;1;21;2
1;1;1;0;0;0;0;0;0;1;1;21;1
1;1;1;1;0;1;0;0;0;1;1;21;2
1;1;1;1;0;1;0;1;0;1;1;21;2
1;1;0;1;1;0;0;0;0;0;0;21;1
